Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Arab World;ARB;6,907186356;;;;;6,91079962;;;;;6,760720554;;;;;6,515646568;;;;;6,247998645;6,177708939;6,09771317;6,007158882;5,905366738;5,790078931;5,660808858;5,520266327;5,370857564;5,216852626;5,073542905;4,922011526;4,796026725;4,648120619;4,508410573;4,358527443;4,233755799;4,117386922;4,006834959;3,903607064;3,813294757;3,729536457;3,652171425;3,586987621;3,522691625;3,464654778;3,410886877;3,359542496;3,308012714;3,257003819;3,207728847;;
Caribbean small states;CSS;5,622831017;5,631466981;5,621794906;5,594058803;5,547029271;5,4805589;5,393011942;5,286740813;5,165306671;5,032791565;4,893395161;4,748015481;4,598001755;4,446465193;4,296209586;4,152049898;4,01771169;3,896051309;3,786313255;3,68854023;3,600070791;3,518162547;3,437677391;3,355750755;3,271737754;3,183785031;3,094804859;3,006234421;2,921861193;2,843217258;2,772348776;2,707038068;2,648323684;2,595582794;2,552233645;2,514961721;2,469401212;2,437943021;2,393047742;2,360148633;2,326265512;2,301984808;2,272545612;2,249158762;2,227556867;2,208901795;2,192246091;2,176491636;2,16030943;2,144147961;2,127130123;;
East Asia & Pacific (all income levels);EAS;5,22618341;;;;;5,436253377;;;;;5,168369817;;;;;3,907698618;;;;;3,009344443;2,950766064;2,9170295;2,891243078;2,873452848;2,842625485;2,801623415;2,748270726;2,681659869;2,594838298;2,502260164;2,408518771;2,315516873;2,22606149;2,157682397;2,095179358;2,049699921;2,011633394;1,98016493;1,951108887;1,932985114;1,905723443;1,884283284;1,866807661;1,850995008;1,832302017;1,821509963;1,80986312;1,793734753;1,775837422;1,761612494;;
East Asia & Pacific (developing only);EAP;5,6246973;;;;;5,910633226;;;;;5,593195793;;;;;4,171233067;;;;;3,15654807;3,092393134;3,055629153;3,031632133;3,012774305;2,987378407;2,945222624;2,88647188;2,810391494;2,71803657;2,613502854;2,504210838;2,399223362;2,304836812;2,224855697;2,160728681;2,111639886;2,072302363;2,039410996;2,010263238;1,985359829;1,9626014;1,942201296;1,923631738;1,905718466;1,887691411;1,869750075;1,851277871;1,832768251;1,814119829;1,795322926;;
Euro area;EMU;2,611540315;;;;;2,70536482;;;;;2,393922564;;;;;2,024028246;;;;;1,766974305;1,728274317;1,701709664;1,630496163;1,593967067;1,574302221;1,572166609;1,532829124;1,537761992;1,502717578;1,503146586;1,463957535;1,456376611;1,432956239;1,398834525;1,383744992;1,399738277;1,417576779;1,423851535;1,436904165;1,475761687;1,462081375;1,465581359;1,478207624;1,501057015;1,501638315;1,524880649;1,538482385;1,577704462;1,560423029;1,563838912;;
Europe & Central Asia (all income levels);ECS;2,82957518;;;;;2,740567218;;;;;2,551353265;;;;;2,3399859;;;;;2,165457678;2,134839847;2,145414529;2,128559965;2,103738731;2,086861673;2,09528824;2,083563094;2,0534389;1,990101977;1,944981585;1,885038159;1,819097847;1,747356807;1,701297205;1,654961775;1,618401726;1,594644009;1,568959648;1,547203288;1,551061031;1,54006898;1,548286892;1,559277237;1,584964578;1,579935227;1,610379287;1,653746649;1,704309577;1,706945645;1,703494465;;
Europe & Central Asia (developing only);ECA;3,115082931;;;;;2,842246246;;;;;2,817166472;;;;;2,716385549;;;;;2,566747275;2,544959368;2,59179499;2,615363931;2,592800615;2,567419189;2,601374717;2,608045122;2,534427031;2,435886052;2,328476631;2,222924935;2,112119083;1,982121881;1,933973564;1,871005993;1,791011469;1,733313665;1,689655063;1,645505586;1,626372302;1,620673691;1,637651013;1,642490468;1,665901692;1,649102189;1,679135909;1,743301194;1,79852394;1,817544531;1,81008099;;
European Union;EUU;2,589538001;;;;;2,608875709;;;;;2,365968195;;;;;2,06553338;;;;;1,869039335;1,82197166;1,802109681;1,749781251;1,733376657;1,726061928;1,719418869;1,690786122;1,694542627;1,656280021;1,642756838;1,599439368;1,571122178;1,540260759;1,492520116;1,449481941;1,448420775;1,449043831;1,443766716;1,442760609;1,464690269;1,448004893;1,447085935;1,464222266;1,491402209;1,498810679;1,529229218;1,551894382;1,599114202;1,588560367;1,587405187;;
Heavily indebted poor countries (HIPC);HPC;6,714760608;;;;;6,7881497;;;;;6,835087026;;;;;6,84044178;;;;;6,799123292;6,784973764;6,769247975;6,752014556;6,7330769;6,71217653;6,688395754;6,661238956;6,629608135;6,592854843;6,550870172;6,504561864;6,454083305;6,399623193;6,341128514;6,27863144;6,211894112;6,141253124;6,068121741;5,992830987;5,915588837;5,836067508;5,754077719;5,669903329;5,583617216;5,495832373;5,407507726;5,319710248;5,232941272;5,147844806;5,064480403;;
High income;HIC;2,991531245;;;;;2,807195131;;;;;2,49196541;;;;;2,070483576;;;;;1,942703496;1,906662509;1,899466676;1,856870217;1,840099556;1,827406479;1,809043531;1,799209516;1,815863225;1,810808399;1,830163294;1,811675504;1,793267052;1,762165985;1,739436462;1,703597932;1,697144468;1,687234843;1,683880937;1,675593029;1,70365142;1,673245517;1,657128098;1,66828927;1,679318393;1,6770401;1,71598247;1,744809335;1,756086089;1,723054591;1,757731246;;
High income: nonOECD;NOC;;;;;;;;;;;;;;;;;;;;;;;;;;3,788820449;3,699383369;3,628250506;3,616700335;3,487486187;3,419636072;3,343205946;3,328365619;3,249466103;3,16170403;3,058692199;2,965086115;2,873371412;2,748697814;2,665150486;;2,497958996;2,418275761;2,343574968;2,298070638;2,26481119;2,227015913;2,196774445;2,172735327;2,138850739;2,117585697;;
