Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Arab World;ARB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28964;158365;252990;445937;991800;1745147;2961499;4293697;5609841;6541717;7583616;
Caribbean small states;CSS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7630;21197;56497;90395;133812;187127;253455;333306;419532;455845;431504;
East Asia & Pacific (all income levels);EAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82000;;5502154;14162035;26921380;42954381;64050300;82970612;104677223;122533287;148137097;174927158;205606340;239294772;
East Asia & Pacific (developing only);EAP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;26660;366942;3393319;11501188;25496221;38391540;52601917;70962552;88358687;112438076;139222478;170947847;
Euro area;EMU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99888;;1309484;5074073;10076274;17507518;29648538;42932803;56949275;69555452;78394917;85942024;91652815;95923327;
Europe & Central Asia (all income levels);ECS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99888;;1765800;6535457;13727835;24979185,33;43256734;66095091;91501209;116113440;136046221;151825372;166748152;177441880;
Europe & Central Asia (developing only);ECA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23320;80620;832297;1564179;4245821;8451025;14952017;23315261;29459651;36821809;40847754;
European Union;EUU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99888;;1684558;6291279;13018294;23211701,33;40012125;59840632;81362495;100248930;112213752;121938261;129608767;136492174;
Heavily indebted poor countries (HIPC);HPC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1635;6968;14322;27478;55140;109205;211621;310544;341020;498464;600399;
High income;HIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1027788;4107398;15725418;36024180;60919334;88712312,33;124349997;166366929;205748214;235182600;262372276;279140390;297517148;311548938;
High income: nonOECD;NOC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36000;147834;;2063511;3558766;5010536;6299604;7492284;8519303;9901746;11508249;12589820;13597038;14276356;
High income: OECD;OEC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;991788;3959564;14974808;33960669;57360568;83701776,33;118050393;158874645;197228911;225280854;250864027;266550570;283920110;297272582;
Latin America & Caribbean (all income levels);LCN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;138232;577907;1449030;2358360;5943027;8027032;12435382;19070252;25989562;31493388;37160163;43494506;
Latin America & Caribbean (developing only);LAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;138232;571341;1418082;2261480;5797211;7830896;12186392;18753401;25348643;30739541;36320954;42685043;
Least developed countries: UN classification;LDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;1375;4234;13198;30678;70064;221272;293469;356445;553890;739054;
Low & middle income;LMY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;165404;1013807;5089649;14940996;33474125;52784680;77328597;110536953;146100133;185513917;230482716;276881719;
Low income;LIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;771;3004;8246;14974;25860;54458;145245;183864;248812;369536;520201;
Lower middle income;LMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77991;205164;366543;698636;2520628;4817838;8195136;13502863;19856041;26374643;30318944;
Middle East & North Africa (all income levels);MEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82647;423878;927526;1462785;2271398;3316057;4726450;6322413;7832088;9363886;11258337;
Middle East & North Africa (developing only);MNA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1075;107317;169517;273758;;1247847;1903160;2683864;3669912;4899334;6459913;
Middle income;MIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;165404;1013036;5086645;14932750;33459151;52758820;77274139;110391708;145916269;185265105;230113180;276361518;
North America;NAC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845900;3336286;8480806;15628812;23396549;32257342;42768520;58178837;68305344;79310121;85583258;89369384;95901996;101000000;
Not classified;INX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OECD members;OED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;991788;3959564;14997687;34088306;57801713;84681705,33;120164489;163095290;204042116;235790813;265467813;284010450;304114279;319048644;
Other small states;OSS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;481;1866;4635;21836;48366;66893;124693;178544;216184;234239;
Pacific island small states;PSS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;11;43;739;8837;10820;14531;16698;17537;29373;28868;
Small states;SST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7635;21689;58406;95769;164485;246313;334879;474697;615613;701402;694611;
South Asia;SAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;50327;83191;144282;256367;1387080;2357243;3303933;5610311;8308131;11893861;14119925;
Sub-Saharan Africa (all income levels);SSF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;802;7120;32232;86389;221559;484353;662070;783547;898786;1325466;1821237;
Sub-Saharan Africa (developing only);SSA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;802;7120;32232;86389;221379;484173;661890;783367;898606;1324280;1821237;
Upper middle income;UMC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;160529;935045;4881481;14566207;32760515;50238192;72456301;102196572;132413406;165409064;203738537;246042574;
World;WLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1028788;;15890822;37037987;66008983;103653308,3;157824122;219151609;283076811;345719553;408472409;464654307;527999864;588430657;
Afghanistan;AFG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;200;220;500;500;500;1000;1500;;
Albania;ALB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;272;;10000;64000;92000;105519;139697;
