Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Afghanistan;AFG;30,813;31,169;31,537;31,92;32,316;32,722;33,135;33,551;33,968;34,385;34,805;35,233;35,67;36,117;36,57;37,021;37,461;37,884;38,283;38,658;39,01;39,34;39,658;39,971;40,283;40,599;40,922;41,252;41,588;41,929;42,272;42,615;42,951;43,28;43,599;43,908;44,208;44,501;44,791;45,079;45,362;45,64;45,911;46,179;46,448;46,725;47,021;47,339;47,683;48,052;48,442;
Albania;ALB;63,247;64,325;65,261;66,017;66,585;66,987;67,273;67,517;67,779;68,084;68,441;68,84;69,247;69,64;70,014;70,37;70,711;71,046;71,383;71,726;72,087;72,48;72,903;73,344;73,786;74,187;74,499;74,697;74,776;74,748;74,651;74,535;74,459;74,469;74,59;74,84;75,22;75,696;76,23;76,795;77,358;77,888;78,365;78,775;79,109;79,367;79,559;79,711;79,844;79,97;80,095;80,223
Algeria;DZA;48,061;48,595;49,146;49,718;50,31;50,918;51,532;52,147;52,757;53,362;53,967;54,579;55,205;55,851;56,517;57,201;57,896;58,595;59,296;60,003;60,73;61,499;62,32;63,186;64,081;64,975;65,829;66,61;67,295;67,872;68,341;68,711;69,013;69,278;69,525;69,773;70,037;70,321;70,625;70,952;71,298;71,657;72,015;72,361;72,692;73,005;73,3;73,583;73,857;74,124;74,384;74,638
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;34,504;34,91;35,316;35,723;36,129;36,536;36,945;37,356;37,768;38,179;38,59;39,003;39,413;39,817;40,205;40,565;40,88;41,143;41,355;41,522;41,661;41,793;41,941;42,114;42,315;42,53;42,736;42,911;43,045;43,139;43,203;43,251;43,308;43,402;43,555;43,797;44,156;44,631;45,213;45,884;46,615;47,367;48,101;48,785;49,402;49,948;50,429;50,872;51,3;51,72;52,138;52,558
Antigua and Barbuda;ATG;64,3;;;;;;;;;;68,8;;;;;;;;;;;;74,22;;;;;75,18;;;;;77,13;;;;;77,6;;;;;78,2;;;;;;;;;
Argentina;ARG;68,109;68,315;68,487;68,635;68,77;68,907;69,061;69,238;69,444;69,682;69,95;70,241;70,543;70,846;71,146;71,444;71,743;72,047;72,357;72,668;72,972;73,258;73,521;73,756;73,966;74,156;74,336;74,518;74,711;74,918;75,14;75,375;75,616;75,857;76,097;76,335;76,572;76,81;77,047;77,285;77,52;77,751;77,977;78,196;78,406;78,607;78,798;78,98;79,155;79,324;79,49;79,655
Armenia;ARM;69,006;69,427;69,852;70,279;70,704;71,125;71,543;71,95;72,338;72,698;73,014;73,268;73,454;73,574;73,633;73,656;73,675;73,711;73,768;73,836;73,868;73,799;73,592;73,235;72,751;72,196;71,647;71,184;70,867;70,722;70,75;70,925;71,187;71,488;71,81;72,15;72,518;72,93;73,386;73,874;74,373;74,858;75,308;75,706;76,043;76,315;76,527;76,695;76,837;76,962;77,078;77,191
Aruba;ABW;67,129;67,625;68,065;68,458;68,817;69,165;69,526;69,917;70,345;70,811;71,306;71,815;72,312;72,779;73,204;73,579;73,902;74,183;74,43;74,647;74,839;75,01;75,164;75,305;75,436;75,556;75,663;75,754;75,827;75,886;75,932;75,969;76,002;76,033;76,066;76,1;76,133;76,164;76,192;76,221;76,257;76,307;76,376;76,465;76,576;76,704;76,846;76,994;77,142;77,287;77,425;77,558
